형태소,품사,개수
전체단,NNP,14
하다,VV,3
시발,NNP,3
점검,NNG,2
다음,NNG,2
점,NNG,1
망하다,VV,1
봉,NNG,1
병기,NNG,1
사격,NNG,1
교장,NNG,1
아침,NNG,1
점호,NNG,1
호국,NNP,1
의식,NNG,1
차,NNG,1
통,NNG,1
행복,NNG,1
차통,NNG,1
으린,NNP,1
망해봉,NNP,1
톡,NNG,1
게시판,NNG,1
투표,NNG,1
학출,NNP,1
열외,NNG,1
유,NNP,1
증상,NNG,1
보고,NNG,1
빠지다,VV,1
전,NNG,1
과실,NNG,1
안,NNG,1
뜀,NNG,1
때,NNG,1
소리,NNG,1
내다,VV,1
미안,NNG,1
독일어,NNP,1
보충,NNG,1
있다,VA,1
모범,NNG,1
보이다,VV,1
대리,NNG,1
되다,VV,1
가능,NNG,1
민하,NNP,1
주,NNG,1
당코,NNG,1
빡세다,VA,1
