원문
장갑 이뻐?
삭제된 메시지입니다. 
에바지
나 이거 받을뻔 함
저녁점호 정복임?
허허
웅 
아 니 근데
잔반통 까는거랑 빼는거 보고하는 사람이 왜 다른데
빼는건 갑판보좌관이거 까는거는 명예대대 공병관아님??
까는건 명대 빼는건 당참
다음주도 당직이네 
아 주말이구나
10월 서평 언제까지야?
톡게시판 '글 공유': 유증상
사진
띠용
저의 와이셔츠를 찾아요
기명 확인좀
내꺼 맞는거같은데
??????
동코트 미착용 해도 된다는건가 ?
뭐지.?
미착용인듯
미착용이래
성민아
스포츠벡이랑
종이백 두고갔어
건조실에
(정보작전참모생도)
만발 축
이모티콘 
아니
18발 개오열
나 만발인데
쟤네 숫자 잘 못세네
걸치는거는 안쳐주노
그럼 19발인데
 1중대 3명 이슈네
2학년은 18발까지 특등사수 줬다는디
18발 양호 5점
19-20발 양호 10점
내일 아침점호 없네 개꿀
연점도 아닌거같은데?
왜?
그니까
오
톡게시판 '투표': 열외
저녁점호
그냥 그렇게 쓴 거 아님?
