형태소,품사,개수
전체단,NNP,19
열외,NNG,2
봉,NNG,2
밴드,NNG,2
두둥탁,NNP,1
내일,NNG,1
정문,NNG,1
부두,NNG,1
소문,NNG,1
때,NNG,1
컬태야,NNG,1
위태야,NNG,1
독감,NNG,1
목요일,NNG,1
모,NP,1
규태,NNP,1
어머니,NNG,1
명,NNG,1
삭제,NNG,1
끝,NNG,1
기분,NNG,1
지장,NNG,1
하겟농,NNP,1
전투,NNG,1
조끼,NNG,1
엑스,NNG,1
나,NP,1
취소,NNG,1
